,"Trade_Name
",Chemical,Manufacturer,Top_15_Brand_Corporation,Biologic_(by_Product),Biosimilar,NAS,Oncology,Rare_Disease_(FDA),Rare_Disease_(EMA),Rare_Disease_(FDA_or_EMA),HC-HTA_Aligned_Review,Health_Canada_Submission_Date,NOC_Date,Health_Canada_Review_Time,HTA_Agency,CADTH_Submission_Date,CADTH_Timing_of__Submission,CADTH_Submission_Type_-_Agency_Specific,CADTH_Indication,CADTH_Review_Status,CADTH_Final_Recommendation/Withdrawn_Date,CADTH_Recommended_-_Agency_Specific,CADTH_Decision_Type_-_Standardized,INESSS_Submission_Date,INESSS_Timing_of__Submission,INESSS_Submission_Type_-_Agency_Specific,INESSS_Indication,INESSS_Review_Status,INESSS_Final_Recommendation/Withdrawn_Date,INESSS_Recommended_-_Agency_Specific,INESSS_Decision_Type_-_Standardized,pCPA_Negotiation,pCPA_First_Date,pCPA_Final_Date,pCPA_Type,pCPA_Negotiation_Outcome,BC_Status,AB_Status,SK_Status,MB_Status,ON_Status,NB_Status,NS_Status,PEI_Status,NL_Status,QC_Status,Listing_BC_Date,Listing_AB_Date,Listing_SK_Date,Listing_MB_Date,Listing_ON_Date,Listing_NB_Date,Listing_NS_Date,Listing_PEI_Date,Listing_NL_Date,Listing_QC_Date,First_Prov_Listing_(excl_QC),First_Prov_Listing_(inc_QC),Rank_BC_Listing_Date,Rank_AB_Listing_Date,Rank_SK_Listing_Date,Rank_MB_Listing_Date,Rank_ON_Listing_Date,Rank_NB_Listing_Date,Rank_NS_Listing_Date,Rank_PEI_Listing_Date,Rank_NL_Listing_Date,Rank_QC_Listing_Date,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Total_population_coverage_(incl_QC),Date_>_50%_Cumulative_Ranking,Date_>_80%_Cumulative_Ranking,NOC_to_CADTH_Submission,NOC_to_INESSS_Submission,CADTH_Duration,INESSS_Duration,CADTH_to_pCPA_Initiation,INESSS_to_pCPA_Initiation,pCPA_LOI_to_LOE,pCPA_to_Listing_BC_Date,pCPA_to_Listing_AB_Date,pCPA_to_Listing_SK_Date,pCPA_to_Listing_MB_Date,pCPA_to_Listing_ON_Date,pCPA_to_Listing_NB_Date,pCPA_to_Listing_NS_Date,pCPA_to_Listing_PEI_Date,pCPA_to_Listing_NL_Date,pCPA_to_Listing_QC_Date,pCPA_to_Listing_Nat_Avg_(excl_QC),pCPA_Completion_to_1st_Listing_(excl_QC),pCPA_to_Listing_Nat_Avg_(incl_QC),pCPA_Completion_to_1st_Listing_(incl_QC),pCPA_Completion_to_80%_Listing,NOC_to_Listing_BC_Date,NOC_to_Listing_AB_Date,NOC_to_Listing_SK_Date,NOC_to_Listing_MB_Date,NOC_to_Listing_ON_Date,NOC_to_Listing_NB_Date,NOC_to_Listing_NS_Date,NOC_to_Listing_PEI_Date,NOC_to_Listing_NL_Date,NOC_to_Listing_QC_Date,NOC_to_Listing_Nat_Avg_(excl_QC),NOC_to_Listing_Nat_Avg_(inc_QC),"NOC_to_1st_Provincial_Listing
(unique_at_product/indication_level)_exc_QC","CADTH_Submission_to_1st_Provincial_Listing
exc_QC",CADTH_Recommendation_to_1st_Provincial_Listing_exc_QC,HTA_Rec_to_BC_Listing_Date,HTA_Rec_to_AB_Listing_Date,HTA_Rec_to_SK_Listing_Date,HTA_Rec_to_MB_Listing_Date,HTA_Rec_to_ON_Listing_Date,HTA_Rec_to_NB_Listing_Date,HTA_Rec_to_NS_Listing_Date,HTA_Rec_to_PEI_Listing_Date,HTA_Rec_to_NL_Listing_Date,HTA_Rec_to_QC_Listing_Date,Nat`l_Avg_(excl_QC),NOC_to_CADTH_Rec,NOC_to_INESSS_Rec,CADTH_Rec_to_pCPA_Decision,INESSS_Rec_to_pCPA_Decision,NOC_to_80%_Listing,First_Provincial_Listing_to_80%_Listing_(incl_QC),First_Provincial_Listing_to_80%_Listing_(excl_QC),First_Provincial_Listing_to_50%_Listing_(incl_QC),50%_Listing_to_80%_Listing,HC_Sub_to_CADTH_Rec
153,Dysport Therapeutic (cervical),abobotulinumtoxinA,Ipsen Biopharmaceuticals ,N,Y,N,N,N,N,N,N,N,,15-Jun-16,,CADTH & INESSS,31-Jan-17,post-NOC,Initial,Cervical dystonia,Completed,26-Jul-17,Reimburse with clinical criteria and/or conditions,Conditional,24-Mar-17,post-NOC,New Drug,Treatment of Cervical Dystonia,Completed,18-Oct-17,Avis de refus d'inscription aux listes des médicaments - Valeur thérapeutique,Negative,1st,04-May-18,17-Jul-18,Negotiation,Completed with Agreements,SA,FB,EDS,EDS,LU,SA,EDS,UR,UR,EM,2019-02-26,2018-12-01,2018-10-01,2018-10-18,2018-09-27,2018-08-23,2019-08-01,,,2019-04-11,23-Aug-18,2018-08-23,6.0,5.0,3.0,4.0,2.0,1.0,8.0,,,7.0,0.90%,33.10%,38.80%,44.40%,48.80%,69.10%,97.70%,99.00%,,,99.00%,26-Feb-19,11-Apr-19,230.0,282.0,176.0,208.0,282.0,198.0,74.0,224.0,137.0,76.0,93.0,72.0,37.0,380.0,,,268.0,146.0,37.0,161.0,37.0,268.0,986.0,899.0,838.0,855.0,834.0,799.0,1142.0,,,1030.0,908.0,923.0,799.0,569.0,393.0,580.0,493.0,432.0,449.0,428.0,393.0,736.0,,,540.0,502.0,406.0,490.0,356.0,272.0,1030.0,231.0,231.0,187.0,44.0,42942
154,Dysport Therapeutic (lower),abobotulinumtoxinA,Ipsen Biopharmaceuticals ,N,Y,N,N,N,N,N,N,N,,15-Jun-16,,CADTH & INESSS,07-Feb-18,post-NOC,Initial,lower limb spasticity,Completed,23-Aug-18,Reimburse with clinical criteria and/or conditions,Conditional,24-Sep-18,post-NOC,New Indication,Treatment of lower limb spasticity in infacts age 2 or older,Completed,13-Feb-19,Inscription  Avec conditions,Conditional,1st,30-Aug-18,30-Aug-18,Negotiation,Completed with Agreements,SA,FB,EDS,EDS,LU,SA,EDS,UR,UR,EM,2019-02-26,2018-12-01,2018-10-01,2019-01-24,2018-09-27,2018-12-17,2019-08-01,,,2019-04-11,27-Sep-18,2018-09-27,6.0,3.0,2.0,5.0,1.0,4.0,8.0,,,7.0,32.20%,38.00%,42.40%,43.30%,48.80%,69.10%,97.70%,99.00%,,,99.00%,26-Feb-19,11-Apr-19,602.0,831.0,197.0,142.0,7.0,-167.0,0.0,180.0,93.0,32.0,147.0,28.0,109.0,336.0,,,224.0,132.0,28.0,144.0,28.0,224.0,986.0,899.0,838.0,953.0,834.0,915.0,1142.0,,,1030.0,938.0,950.0,834.0,232.0,35.0,187.0,100.0,39.0,154.0,35.0,116.0,343.0,,,57.0,139.0,799.0,973.0,7.0,-167.0,1030.0,196.0,196.0,152.0,44.0,43335
159,Elelyso (2nd pCPA),taliglucerase alfa,Pfizer ,Y,Y,N,Y,N,Y,Y,Y,N,,29-May-14,,CADTH & INESSS,15-Aug-14,post-NOC,Initial,Gaucher disease ,Completed,28-Oct-15,Do not list,Negative,24-Nov-14,post-NOC,Resubmission,Gaucher disease ,Completed,15-Jul-15,Avis de refus dinscription  À moins que certaines conditions soient respectées,Conditional,1st,17-Nov-17,17-May-18,Negotiation,Completed with Agreements,UR,SA,UR,EDS,UR,SA,EDS,UR,UR,,,2019-09-01,,2018-10-18,,2019-03-27,2020-07-31,,,,18-Oct-18,2018-10-18,,3.0,,1.0,,2.0,4.0,,,,5.50%,6.40%,10.90%,12.20%,,,,,,,12.20%,,,78.0,179.0,439.0,233.0,751.0,856.0,181.0,,472.0,,154.0,,314.0,806.0,,,,437.0,154.0,437.0,154.0,,,1921.0,,1603.0,,1763.0,2255.0,,,,1886.0,1886.0,1603.0,1525.0,1086.0,,1404.0,,1086.0,,1246.0,1738.0,,,,1369.0,517.0,412.0,932.0,1037.0,,,,,,42305
161,Eliquis (Treat VTE&recurrence),apixaban ,Bristol-Myers Squibb & Pfizer ,Y,N,N,N,N,N,N,N,N,,01-Nov-14,,CADTH & INESSS,18-Sep-14,pre-NOC,Initial,venous thromboembolic events and prevent recurrent deep-vein thrombosis and pulmonary embolism,Completed,07-May-15,List with clinical criteria and/or conditions,Conditional,24-Nov-14,post-NOC,Resubmission,Treatment of venous thromboembolism (deep vein thrombosis and pulmonary embolism) and preventing recurrence,Completed,01-Jun-15,Ajout d'une indication reconnue - Médicament d'exception,Conditional,1st,11-Jun-15,09-Jul-15,Negotiation,Completed with Agreements,FB,FB,EDS,EDS,LU,FB,EDS,SA,SA,EM,2016-04-05,2015-11-01,2015-10-01,2015-10-22,2015-09-30,2015-10-14,2016-12-01,2016-04-25,2015-09-01,2015-06-01,01-Sep-15,2015-06-01,8.0,7.0,4.0,6.0,3.0,5.0,10.0,9.0,2.0,1.0,28.60%,29.30%,61.50%,67.20%,68.10%,73.60%,78.10%,98.30%,98.70%,100.00%,100.00%,30-Sep-15,05-Apr-16,-44.0,23.0,231.0,189.0,35.0,10.0,28.0,271.0,115.0,84.0,105.0,83.0,97.0,511.0,291.0,54.0,-38.0,179.0,54.0,157.0,-38.0,271.0,521.0,365.0,334.0,355.0,333.0,347.0,761.0,541.0,304.0,212.0,429.0,407.0,304.0,348.0,117.0,334.0,178.0,147.0,168.0,146.0,160.0,574.0,354.0,117.0,0.0,242.0,187.0,212.0,63.0,38.0,521.0,309.0,217.0,121.0,188.0,42131
162,Emgality,galcanezumab,Eli Lilly Canada Inc. (Lilly),Y,Y,N,Y,N,N,N,N,N,01-Oct-18,30-Jul-19,302.0,CADTH & INESSS,03-Jun-21,post-NOC,Initial,Prevention of migraine,Completed,15-Dec-21,Reimburse with clinical criteria and/or conditions,Conditional,24-Sep-21,post-NOC,New Drug,Prevention of migraine,Completed,30-Mar-22,Inscription - Avec conditions,Conditional,1st,29-Mar-22,22-Nov-22,Negotiation,Completed with Agreements,,SA,EDS,EDS,EAP,,,,SA,EM,,2023-02-01,2023-02-01,2023-04-01,2022-12-01,,,,2023-03-07,2023-02-01,01-Dec-22,2022-12-01,,2.0,3.0,6.0,1.0,,,,5.0,4.0,32.20%,36.70%,42.40%,71.00%,71.70%,77.20%,,,,,77.20%,01-Feb-23,,674.0,787.0,195.0,187.0,104.0,-1.0,238.0,,71.0,71.0,130.0,9.0,,,,105.0,71.0,77.0,9.0,76.0,9.0,,,1282.0,1282.0,1341.0,1220.0,,,,1316.0,1282.0,1288.0,1287.0,1220.0,546.0,351.0,,413.0,413.0,472.0,351.0,,,,447.0,308.0,419.0,869.0,974.0,342.0,237.0,,,,62.0,,1171
164,Enerzair Breezhaler,indacaterol glycopyrronium mometasone furoate,Novartis Pharmaceuticals Canada Inc.,Y,N,N,N,N,N,N,N,N,01-Sep-19,02-Jul-20,305.0,CADTH & INESSS,19-May-20,pre-NOC,Initial,"Asthma maintenance, adults",Completed,24-Nov-20,Reimburse with clinical criteria and/or conditions,Conditional,26-Jun-20,pre-NOC,New Drug,Asthma,Completed,02-Dec-20,Inscription - Avec conditions,Conditional,1st,23-Jun-21,30-Sep-21,Negotiation,Completed with Agreements,SA,SA,,EDS,LU,SA,EDS,SA,SA,EM,2022-06-14,2021-11-01,,2022-02-24,2022-02-28,2022-01-20,2021-11-30,2022-03-28,2022-05-11,2021-12-15,01-Nov-21,2021-11-01,9.0,1.0,,5.0,6.0,4.0,2.0,7.0,8.0,3.0,4.50%,5.80%,34.30%,35.20%,40.80%,73.00%,73.40%,74.00%,94.30%,,94.30%,28-Feb-22,14-Jun-22,-44.0,-6.0,189.0,159.0,211.0,203.0,99.0,257.0,32.0,,147.0,151.0,112.0,61.0,179.0,223.0,76.0,145.0,32.0,138.0,32.0,257.0,712.0,487.0,,602.0,606.0,567.0,516.0,634.0,678.0,531.0,600.0,593.0,487.0,531.0,342.0,567.0,342.0,,457.0,461.0,422.0,371.0,489.0,533.0,378.0,455.0,145.0,153.0,310.0,302.0,712.0,225.0,225.0,119.0,106.0,450
167,Enspryng,satralizumab,Hoffmann-La Roche Ltd.,Y,Y,N,Y,N,Y,Y,Y,N,01-Dec-19,01-Jun-20,183.0,CADTH & INESSS,22-Oct-20,post-NOC,Initial,Neuromyelitis optica spectrum disorder,Completed,21-Apr-21,Reimburse with clinical criteria and/or conditions,Conditional,13-Nov-20,post-NOC,New Drug,NOSD,Completed,07-May-21,Inscription - Avec conditions,Conditional,1st,30-Jun-21,28-Jun-22,Negotiation,Completed with Agreements,,,EDS,EDS,EAP,SA,EDS,,,EM,,,2022-11-01,2023-01-24,2023-02-03,2022-10-24,2023-02-01,,,2022-08-17,24-Oct-22,2022-08-17,,,3.0,4.0,6.0,2.0,5.0,,,1.0,28.60%,29.50%,35.20%,40.70%,42.00%,74.30%,,,,,74.30%,03-Feb-23,,143.0,165.0,181.0,175.0,70.0,54.0,363.0,,,126.0,210.0,220.0,118.0,218.0,,,50.0,178.0,118.0,157.0,50.0,,,,883.0,967.0,977.0,875.0,975.0,,,807.0,935.0,914.0,875.0,732.0,551.0,,,559.0,643.0,653.0,551.0,651.0,,,467.0,611.0,324.0,340.0,433.0,417.0,,,,170.0,,507
168,Entresto,sacubitril/valsartan,Novartis ,Y,N,N,Y,N,N,N,N,N,,02-Oct-15,,CADTH & INESSS,18-Sep-15,pre-NOC,Initial,"Heart failure, NYHA class II or III",Completed,18-Mar-16,List with clinical criteria and/or conditions,Conditional,24-Nov-15,post-NOC,New Drug,"Heart failure, NYHA class II or III",Completed,01-Jun-16,Avis d'inscription aux listes des médicaments-Médicament d'exception-Avec conditions,Conditional,1st,30-Jun-16,06-Mar-17,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,LU,SA,EDS,SA,SA,EM,2018-03-06,2017-09-01,2017-04-01,2017-07-19,2017-04-27,2017-09-22,2019-04-01,2019-08-01,2018-06-01,2017-03-15,01-Apr-17,2017-03-15,7.0,5.0,2.0,4.0,3.0,6.0,9.0,10.0,8.0,1.0,28.60%,34.30%,66.50%,72.10%,76.50%,77.40%,97.70%,98.30%,99.60%,100.00%,100.00%,27-Apr-17,06-Mar-18,-14.0,53.0,182.0,190.0,104.0,29.0,249.0,365.0,179.0,26.0,135.0,52.0,200.0,756.0,878.0,452.0,9.0,338.0,26.0,305.0,9.0,365.0,886.0,700.0,547.0,656.0,573.0,721.0,1277.0,1399.0,973.0,530.0,859.0,826.0,547.0,561.0,379.0,718.0,532.0,379.0,488.0,405.0,553.0,1109.0,1231.0,805.0,287.0,691.0,168.0,243.0,353.0,278.0,886.0,356.0,339.0,43.0,313.0,42447
169,Entresto,sacubitril/valsartan,Novartis Pharma Inc.,Y,N,N,Y,N,N,N,N,N,,02-Oct-15,,CADTH & INESSS,22-May-20,post-NOC,Initial,"Heart failure, NYHA class II or III (without prior exposure to ACE or ARB)",Completed,24-Mar-21,Reimburse with clinical criteria and/or conditions,Conditional,03-Jul-20,post-NOC,New Indication,Cardiac insuficiency,Completed,02-Dec-20,Modification dune indication reconnue  Avec conditions,Conditional,1st,17-Aug-22,17-Aug-22,Negotiation,Completed with Agreements,,,,,,,,,,EM,,,,,,,,,,2022-09-28,,2022-09-28,,,,,,,,,,1.0,28.60%,,,,,,,,,,28.60%,,,1694.0,1736.0,306.0,152.0,511.0,623.0,0.0,,,,,,,,,,42.0,,,42.0,42.0,,,,,,,,,,,2553.0,,2553.0,,,,,,,,,,,,,665.0,,2000.0,1888.0,511.0,623.0,,,,,,44279
170,Entuzity KwikPen,human insulin,Eli Lilly Canada Inc.,Y,Y,N,N,N,N,N,N,N,01-Sep-16,27-Jul-17,329.0,CADTH & INESSS,27-Jan-21,post-NOC,Initial,To improve glycemic control in adults and children with diabetes mellitus requiring more than 200 units of insulin per day,Completed,23-Aug-21,Reimburse with clinical criteria and/or conditions,Conditional,13-Nov-18,post-NOC,New Drug,Diabetes,Completed,10-Apr-19,Inscription,Positive,1st,18-Nov-21,07-Feb-22,Negotiation,Completed with Agreements,FB,SA,FB,FB,FB,FB,EDS,SA,SA,FB,2022-05-31,2022-04-01,2022-04-01,2022-06-01,2022-04-29,2022-04-29,2022-06-27,2023-02-20,2022-07-07,2022-03-02,01-Apr-22,2022-03-02,6.0,2.0,3.0,7.0,4.0,5.0,8.0,10.0,9.0,1.0,28.60%,33.00%,38.80%,71.00%,71.90%,92.10%,97.70%,99.00%,99.60%,100.00%,100.00%,29-Apr-22,31-May-22,1280.0,474.0,208.0,148.0,87.0,953.0,81.0,113.0,53.0,53.0,114.0,81.0,81.0,140.0,378.0,150.0,23.0,129.0,53.0,119.0,23.0,113.0,1769.0,1709.0,1709.0,1770.0,1737.0,1737.0,1796.0,2034.0,1806.0,1679.0,1785.0,1775.0,1709.0,429.0,221.0,281.0,221.0,221.0,282.0,249.0,249.0,308.0,546.0,318.0,1057.0,297.0,1488.0,622.0,168.0,1034.0,1769.0,90.0,60.0,58.0,32.0,1817
171,Entyvio,vedolizumab,Takeda Canada Inc.,Y,Y,N,N,N,N,N,N,N,,19-Nov-20,,CADTH & INESSS,23-Jul-20,pre-NOC,Initial,Crohn's Disease,Completed,21-Jan-21,Reimburse with clinical criteria and/or conditions,Conditional,24-Jan-21,post-NOC,New Drug,Crohn's Disease,Completed,02-Jun-21,Inscription - Avec conditions,Conditional,1st,15-Apr-21,13-Aug-21,Negotiation,Completed with Agreements,SA,SA,,EDS,EAP,SA,EDS,SA,SA,EM,2022-04-12,2022-03-01,,2021-11-25,2022-01-11,2021-10-14,2022-04-29,2021-11-22,2022-02-21,2021-12-15,14-Oct-21,2021-10-14,8.0,7.0,,3.0,5.0,1.0,9.0,2.0,6.0,4.0,0.90%,1.20%,6.80%,35.40%,67.60%,68.30%,72.70%,93.00%,94.30%,,94.30%,11-Jan-22,12-Apr-22,-119.0,66.0,182.0,129.0,84.0,-48.0,120.0,242.0,200.0,,104.0,151.0,62.0,259.0,101.0,192.0,124.0,164.0,62.0,159.0,62.0,242.0,509.0,467.0,,371.0,418.0,329.0,526.0,368.0,459.0,391.0,431.0,426.0,329.0,448.0,266.0,446.0,404.0,,308.0,355.0,266.0,463.0,305.0,396.0,196.0,368.0,63.0,195.0,204.0,72.0,509.0,180.0,180.0,89.0,91.0,44217
172,Entyvio (CD),vedolizumab,Takeda Canada Inc.,Y,Y,N,N,N,N,N,N,N,,22-Mar-16,,CADTH & INESSS,27-Apr-16,post-NOC,Initial,Crohns disease,Completed,31-Oct-16,Reimburse with clinical criteria and/or conditions,Conditional,,,New Indication,Crohn's Disease,Completed,03-Oct-16,Avis de refus d'inscription aux listes des médicaments - Valeur thérapeutique,Negative,1st,08-Nov-16,03-Mar-17,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,EAP,SA,EDS,SA,SA,EM,2017-05-02,2017-07-01,2017-04-01,2017-07-19,2017-04-18,2017-05-29,2017-05-01,2017-08-07,2017-05-11,2017-04-21,01-Apr-17,2017-04-01,5.0,8.0,1.0,9.0,2.0,7.0,4.0,10.0,6.0,3.0,5.70%,38.00%,66.50%,67.80%,88.10%,88.80%,89.70%,94.10%,99.60%,100.00%,100.00%,21-Apr-17,02-May-17,36.0,,187.0,,8.0,36.0,115.0,60.0,120.0,29.0,138.0,46.0,87.0,59.0,157.0,69.0,49.0,85.0,29.0,81.0,29.0,60.0,406.0,466.0,375.0,484.0,392.0,433.0,405.0,503.0,415.0,395.0,431.0,427.0,375.0,339.0,152.0,183.0,243.0,152.0,261.0,169.0,210.0,182.0,280.0,192.0,200.0,208.0,223.0,195.0,123.0,151.0,406.0,31.0,31.0,20.0,11.0,42674
173,Entyvio (UC),vedolizumab,Takeda Canada Inc.,Y,Y,N,Y,N,N,N,N,N,,29-Jan-15,,CADTH & INESSS,20-Feb-15,post-NOC,Initial,Ulcerative Colitis,Completed,28-Oct-15,List with clinical criteria and/or conditions,Conditional,22-Mar-15,post-NOC,New Drug,Ulcerative Colitis,Completed,01-Oct-15,Avis d'inscription aux listes des médicaments-Médicament d'exception,Conditional,1st,26-May-16,03-Mar-17,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,EAP,SA,EDS,SA,SA,EM,2017-05-02,2017-07-01,2017-04-01,2017-07-19,2017-04-18,2017-05-29,2017-05-01,2018-08-01,2017-05-11,2017-04-21,01-Apr-17,2017-04-01,5.0,8.0,1.0,9.0,2.0,7.0,4.0,10.0,6.0,3.0,5.70%,38.00%,66.50%,67.80%,88.10%,88.80%,89.70%,94.10%,99.60%,100.00%,100.00%,21-Apr-17,02-May-17,22.0,52.0,250.0,193.0,211.0,238.0,281.0,60.0,120.0,29.0,138.0,46.0,87.0,59.0,516.0,69.0,49.0,125.0,29.0,117.0,29.0,60.0,824.0,884.0,793.0,902.0,810.0,851.0,823.0,1280.0,833.0,813.0,889.0,881.0,793.0,771.0,521.0,552.0,612.0,521.0,630.0,538.0,579.0,551.0,1008.0,561.0,568.0,617.0,272.0,245.0,492.0,519.0,824.0,31.0,31.0,20.0,11.0,42305
174,Entyvio (UC),vedolizumab,Takeda Canada Inc.,Y,Y,N,Y,N,N,N,N,N,,29-Jan-15,,CADTH & INESSS,21-Nov-19,post-NOC,Initial,Ulcerative Colitis,Completed,19-May-20,Reimburse with clinical criteria and/or conditions,Conditional,22-May-20,post-NOC,New Indication,Ulcerative Colitis,Completed,09-Sep-20,Inscription - Avec conditions,Conditional,1st,19-Oct-20,13-Aug-21,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,EAP,SA,EDS,SA,SA,EM,2022-04-12,2022-03-01,2021-12-01,2021-11-25,2022-01-11,2021-10-14,2022-04-29,2021-11-22,2022-02-21,2021-12-15,14-Oct-21,2021-10-14,9.0,8.0,4.0,3.0,6.0,1.0,10.0,2.0,7.0,5.0,0.90%,1.20%,6.80%,12.50%,41.10%,73.30%,74.00%,78.40%,98.70%,100.00%,100.00%,11-Jan-22,12-Apr-22,1757.0,1940.0,180.0,110.0,153.0,40.0,298.0,242.0,200.0,110.0,104.0,151.0,62.0,259.0,101.0,192.0,124.0,158.0,62.0,155.0,62.0,242.0,2630.0,2588.0,2498.0,2492.0,2539.0,2450.0,2647.0,2489.0,2580.0,2512.0,2546.0,2543.0,2450.0,693.0,513.0,693.0,651.0,561.0,555.0,602.0,513.0,710.0,552.0,643.0,462.0,609.0,1937.0,2050.0,451.0,338.0,2630.0,180.0,180.0,89.0,91.0,43970
175,Epclusa,sofosbuvir/ velpatasvir,Gilead Sciences ,Y,N,N,Y,N,N,N,N,N,01-Jan-16,11-Jul-16,192.0,CADTH & INESSS,22-Apr-16,pre-NOC,Initial,"Hepatitis C, chronic",Completed,26-Oct-16,Reimburse with clinical criteria and/or conditions,Conditional,12-Aug-16,post-NOC,New Drug,chronic hepatitis C (CHC),Completed,01-Feb-17,Avis d'inscription aux listes des médicaments - Médicament d'exception - Avec conditions,Conditional,1st,26-Oct-16,17-Feb-17,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,LU,SA,EDS,SA,SA,EM,2017-03-21,2017-04-01,2017-04-01,2017-04-20,2017-02-28,2017-04-04,2017-05-01,2017-05-01,2017-08-01,2017-03-15,28-Feb-17,2017-02-28,3.0,4.0,5.0,7.0,1.0,6.0,8.0,9.0,10.0,2.0,32.20%,60.80%,81.10%,85.50%,91.20%,92.10%,97.70%,99.00%,99.30%,100.00%,100.00%,15-Mar-17,21-Mar-17,-80.0,32.0,187.0,173.0,0.0,-98.0,114.0,32.0,43.0,43.0,62.0,11.0,46.0,73.0,73.0,165.0,26.0,61.0,11.0,57.0,11.0,32.0,253.0,264.0,264.0,283.0,232.0,267.0,294.0,294.0,386.0,247.0,282.0,278.0,232.0,312.0,125.0,146.0,157.0,157.0,176.0,125.0,160.0,187.0,187.0,279.0,42.0,175.0,107.0,205.0,114.0,16.0,253.0,21.0,21.0,15.0,6.0,299
177,Erelzi,etanercept,Sandoz Canada Inc.,Y,Y,Y,N,N,N,N,N,N,01-Jun-16,06-Apr-17,309.0,CADTH & INESSS,02-Feb-17,pre-NOC,Initial,"Ankylosing spondylitis, polyarticular juvenile idiopathic arthritis, rheumatoid arthritis",Completed,25-Jul-17,Reimburse with clinical criteria and/or conditions,Conditional,11-Aug-17,post-NOC,New Drug,"Ankylosing spondylitis, polyarticular juvenile idiopathic arthritis, rheumatoid arthritis",Completed,01-Feb-18,Avis d'inscription aux listes des médicaments - Médicament d'exception,Conditional,1st,21-Apr-17,17-Oct-17,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,LU,SA,EDS,SA,SA,EM,2017-11-14,2018-03-01,2018-04-01,2018-04-19,2017-12-21,2018-01-22,2018-08-01,2017-11-24,2018-04-01,2018-02-01,14-Nov-17,2017-11-14,1.0,6.0,7.0,9.0,3.0,4.0,10.0,2.0,8.0,5.0,20.30%,20.60%,52.80%,53.70%,82.30%,86.80%,92.50%,93.20%,98.70%,100.00%,100.00%,21-Dec-17,01-Feb-18,-63.0,127.0,173.0,174.0,-95.0,-286.0,179.0,28.0,135.0,166.0,184.0,65.0,97.0,288.0,38.0,166.0,107.0,130.0,28.0,127.0,28.0,107.0,222.0,329.0,360.0,378.0,259.0,291.0,482.0,232.0,360.0,301.0,324.0,321.0,222.0,285.0,112.0,112.0,219.0,250.0,268.0,149.0,181.0,372.0,122.0,250.0,0.0,214.0,110.0,301.0,84.0,-107.0,301.0,79.0,79.0,37.0,42.0,419
178,Erivedge,vismodegib,Hoffman-La Roche ,Y,N,N,Y,Y,N,N,N,N,,12-Jul-13,,CADTH & INESSS,14-Jun-13,pre-NOC,New drug,Advanced Basal Cell Carcinoma,Completed,10-Jan-14,Cond'l on Cost,Conditional,24-Nov-15,post-NOC,New Drug,Carcinome basocellulaire,Completed,19-Aug-16,Avis de refus d'inscription aux listes des médicaments,Negative,1st,21-Jan-14,01-Apr-14,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,2014-10-01,2014-06-20,2014-07-18,2014-07-01,2014-04-16,2014-06-25,2014-12-29,2020-08-18,2014-10-01,2018-05-24,16-Apr-14,2014-04-16,6.0,2.0,5.0,4.0,1.0,3.0,8.0,10.0,7.0,9.0,32.20%,36.70%,37.60%,43.10%,48.80%,69.10%,69.80%,71.10%,99.60%,100.00%,100.00%,01-Oct-14,24-May-18,-28.0,865.0,210.0,269.0,11.0,-941.0,70.0,183.0,80.0,108.0,91.0,15.0,85.0,272.0,2331.0,183.0,1514.0,372.0,15.0,486.0,15.0,1514.0,446.0,343.0,371.0,354.0,278.0,348.0,535.0,2594.0,446.0,1777.0,635.0,749.0,278.0,306.0,96.0,264.0,161.0,189.0,172.0,96.0,166.0,353.0,2412.0,264.0,643.0,453.0,182.0,1134.0,81.0,-871.0,1777.0,1499.0,1499.0,168.0,1331.0,41649
