"Trade_Name
",Chemical,Manufacturer,Top_15_Brand_Corporation,Biologic_(by_Product),Biosimilar,NAS,Oncology,Rare_Disease_(FDA),Rare_Disease_(EMA),Rare_Disease_(FDA_or_EMA),HC-HTA_Aligned_Review,Health_Canada_Submission_Date,NOC_Date,Health_Canada_Review_Time,HTA_Agency,CADTH_Submission_Date,CADTH_Timing_of__Submission,CADTH_Submission_Type_-_Agency_Specific,CADTH_Indication,CADTH_Review_Status,CADTH_Final_Recommendation/Withdrawn_Date,CADTH_Recommended_-_Agency_Specific,CADTH_Decision_Type_-_Standardized,INESSS_Submission_Date,INESSS_Timing_of__Submission,INESSS_Submission_Type_-_Agency_Specific,INESSS_Indication,INESSS_Review_Status,INESSS_Final_Recommendation/Withdrawn_Date,INESSS_Recommended_-_Agency_Specific,INESSS_Decision_Type_-_Standardized,pCPA_Negotiation,pCPA_First_Date,pCPA_Final_Date,pCPA_Type,pCPA_Negotiation_Outcome,BC_Status,AB_Status,SK_Status,MB_Status,ON_Status,NB_Status,NS_Status,PEI_Status,NL_Status,QC_Status,Listing_BC_Date,Listing_AB_Date,Listing_SK_Date,Listing_MB_Date,Listing_ON_Date,Listing_NB_Date,Listing_NS_Date,Listing_PEI_Date,Listing_NL_Date,Listing_QC_Date,First_Prov_Listing_(excl_QC),First_Prov_Listing_(inc_QC),Rank_BC_Listing_Date,Rank_AB_Listing_Date,Rank_SK_Listing_Date,Rank_MB_Listing_Date,Rank_ON_Listing_Date,Rank_NB_Listing_Date,Rank_NS_Listing_Date,Rank_PEI_Listing_Date,Rank_NL_Listing_Date,Rank_QC_Listing_Date,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Total_population_coverage_(incl_QC),Date_>_50%_Cumulative_Ranking,Date_>_80%_Cumulative_Ranking,NOC_to_CADTH_Submission,NOC_to_INESSS_Submission,CADTH_Duration,INESSS_Duration,CADTH_to_pCPA_Initiation,INESSS_to_pCPA_Initiation,pCPA_LOI_to_LOE,pCPA_to_Listing_BC_Date,pCPA_to_Listing_AB_Date,pCPA_to_Listing_SK_Date,pCPA_to_Listing_MB_Date,pCPA_to_Listing_ON_Date,pCPA_to_Listing_NB_Date,pCPA_to_Listing_NS_Date,pCPA_to_Listing_PEI_Date,pCPA_to_Listing_NL_Date,pCPA_to_Listing_QC_Date,pCPA_to_Listing_Nat_Avg_(excl_QC),pCPA_Completion_to_1st_Listing_(excl_QC),pCPA_to_Listing_Nat_Avg_(incl_QC),pCPA_Completion_to_1st_Listing_(incl_QC),pCPA_Completion_to_80%_Listing,NOC_to_Listing_BC_Date,NOC_to_Listing_AB_Date,NOC_to_Listing_SK_Date,NOC_to_Listing_MB_Date,NOC_to_Listing_ON_Date,NOC_to_Listing_NB_Date,NOC_to_Listing_NS_Date,NOC_to_Listing_PEI_Date,NOC_to_Listing_NL_Date,NOC_to_Listing_QC_Date,NOC_to_Listing_Nat_Avg_(excl_QC),NOC_to_Listing_Nat_Avg_(inc_QC),"NOC_to_1st_Provincial_Listing
(unique_at_product/indication_level)_exc_QC","CADTH_Submission_to_1st_Provincial_Listing
exc_QC",CADTH_Recommendation_to_1st_Provincial_Listing_exc_QC,HTA_Rec_to_BC_Listing_Date,HTA_Rec_to_AB_Listing_Date,HTA_Rec_to_SK_Listing_Date,HTA_Rec_to_MB_Listing_Date,HTA_Rec_to_ON_Listing_Date,HTA_Rec_to_NB_Listing_Date,HTA_Rec_to_NS_Listing_Date,HTA_Rec_to_PEI_Listing_Date,HTA_Rec_to_NL_Listing_Date,HTA_Rec_to_QC_Listing_Date,Nat`l_Avg_(excl_QC),NOC_to_CADTH_Rec,NOC_to_INESSS_Rec,CADTH_Rec_to_pCPA_Decision,INESSS_Rec_to_pCPA_Decision,NOC_to_80%_Listing,First_Provincial_Listing_to_80%_Listing_(incl_QC),First_Provincial_Listing_to_80%_Listing_(excl_QC),First_Provincial_Listing_to_50%_Listing_(incl_QC),50%_Listing_to_80%_Listing,HC_Sub_to_CADTH_Rec
Dojolvi,triheptanoin,Ultragenyx Canada Inc,N,N,N,Y,N,Y,Y,Y,N,01-Aug-20,15-Feb-21,198,CADTH & INESSS,31-Mar-21,post-NOC,Initial,Indicated as a source of calories and fatty acids for the treatment of adult and pediatric patients with long-chain fatty acid oxidation disorders (LC-FAOD). ?,Completed,21-Jan-22,Reimburse with clinical criteria and/or conditions,Conditional,06-Aug-21,post-NOC,New Drug,Indicated as a source of calories and fatty acids for the treatment of adult and pediatric patients with long-chain fatty acid oxidation disorders (LC-FAOD). ?,Completed,29-Dec-21,Refus d'inscription,Negative,1st,22-Apr-22,14-Mar-23,Negotiation,Completed with Agreements,,,,,,,,,,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,44,172,296,145,91,114,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,317,417,440,,,,,,538
Doptelet,avatrombopag,Sobi Canada,N,Y,N,Y,N,N,N,N,N,01-Jun-21,,,CADTH & INESSS,03-Feb-22,na,Initial,Chronic immune thrombocytopenia (ITP),Suspended,,Suspended,n/a,,,New Drug,Thrombocytopenia,withdrawn,n/a,n/a,n/a,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44348
Dovato,dolutegravir/lamivudine,ViiV Healthcare,N,N,N,N,N,N,N,N,Y,01-Oct-18,22-Aug-19,325,CADTH & INESSS,21-Feb-19,pre-NOC,Initial,HIV-1 infection,Completed,30-Sep-19,Reimburse with clinical criteria and/or conditions,Conditional,01-Mar-19,pre-NOC,New drug,HIV Infection,Completed,16-Oct-19,Inscription - Avec conditions,Conditional,1st,04-Oct-19,21-Nov-19,Negotiation,Completed with Agreements,HIV,UR,EDS,EDS,FB,SA,HIV,FB,SA,EM,,,01-Mar-20,02-Mar-20,31-Jan-20,19-Mar-20,14-Dec-20,28-Dec-20,16-Dec-20,18-Dec-19,31-Jan-20,18-Dec-19,,,3,4,2,5,6,8,7,1,28.60%,60.80%,66.50%,72.10%,73.00%,74.30%,74.90%,75.30%,,,75.30%,31-Jan-20,,-182,-174,221,229,4,-12,48,,,101,102,71,119,389,403,391,27,225,71,200,27,,,,192,193,162,210,480,494,482,118,316,291,162,344,123,,,153,154,123,171,441,455,443,63,277,39,55,52,36,,,,44,,364
Duaklir Genuair,aclidinium bromide/formoterol fumarate dihydrate,AstraZeneca ,Y,N,N,N,N,N,N,N,N,,02-Apr-15,,CADTH & INESSS,01-Apr-15,pre-NOC,Initial,Chronic Obstructive Pulmonary Disease (COPD),Completed,18-Sep-15,List with clinical criteria and/or conditions,Conditional,04-Aug-15,post-NOC,New Indication,Chronic Obstructive Pulmonary Disease (COPD),Completed,01-Feb-16,Avis de refus d'inscription aux listes de médicaments - Valeur thérapeutique,Negative,1st,23-Oct-15,15-Dec-15,Negotiation,Completed with Agreements,SA,SA,EDS,FB,LU,SA,EDS,SA,SA,NR,05-Apr-16,01-Feb-16,01-May-16,18-Apr-16,25-Feb-16,21-Dec-15,01-Mar-16,28-Mar-16,01-May-16,,21-Dec-15,21-Dec-15,6,2,8,7,3,1,4,5,9,,0.90%,5.30%,37.60%,38.90%,39.20%,59.50%,65.00%,70.70%,71.40%,,71.40%,05-Apr-16,,-1,124,170,181,35,-101,53,112,48,138,125,72,6,77,104,138,,91,6,91,6,,369,305,395,382,329,263,334,361,395,,348,348,263,264,94,200,136,226,213,160,94,165,192,226,,179,169,305,88,-48,,,,106,,42265
Duobrii,halobetasol propionate and tazarotene,Bausch Health (Valeant) ,N,N,N,Y,N,N,N,N,Y,01-May-18,10-Jun-20,771,CADTH,04-Feb-19,pre-NOC,Initial,"Psoriasis, moderate to severe plaque",Withdrawn,19-Feb-19,Cancelled or withdrawn,n/a,,,,,,,,,none,,,,,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-492,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-477,,,,,,,,,294
Duobrii,Halobetasol propionate and tazarotene,Bausch Health (Valeant) ,N,N,N,N,N,N,N,N,Y,01-May-18,10-Jun-20,771,CADTH & INESSS,24-Jan-20,pre-NOC,Initial,"Psoriasis, moderate to severe plaque",Completed,28-Oct-20,Reimburse with clinical criteria and/or conditions,Conditional,13-Mar-20,pre-NOC,New drug,Plaque psoriasis,Completed,09-Sep-20,Refus d’inscription,Negative,1st,17-Sep-21,30-Nov-21,Negotiation,Completed with Agreements,NR,SA,FB,FB,FB,FB,EDS,SA,SA,NR,,01-Feb-22,01-Mar-22,24-Feb-22,31-Jan-21,17-Feb-22,16-May-22,28-Dec-22,07-Jul-22,,31-Jan-21,31-Jan-21,,2,5,4,1,3,6,8,7,,32.20%,36.70%,37.60%,43.10%,48.80%,50.10%,50.80%,51.20%,,,51.20%,16-May-22,,-138,-89,278,180,324,373,74,,63,91,86,-303,79,167,393,219,,99,-303,99,-303,,,601,629,624,235,617,705,931,757,,637,637,235,373,95,,461,489,484,95,477,565,791,617,,497,140,91,398,447,,,,470,,911
Dupixent,dupilumab,Sanofi Genzyme,Y,Y,N,Y,N,N,N,N,N,01-Feb-17,30-Nov-17,302,CADTH & INESSS,27-Oct-17,pre-NOC,Initial,atopic dermatitis,Completed,27-Jun-18,Do not reimburse,Negative,,,New Drug,Atopic dermatitis,Completed,09-May-18,Avis de refus d'inscription aux listes des médicaments - Médicament d'exception - À moins que certaines conditions soient respectées,Conditional,1st,22-Nov-18,17-Sep-19,Negotiation,Completed with Agreements,NR,SA,EDS,EDS,,,,,,EM,,01-Jul-22,01-Jun-21,05-Aug-21,,,,,,02-Oct-19,01-Jun-21,02-Oct-19,,4,2,3,,,,,,1,28.60%,34.30%,39.80%,44.30%,,,,,,,44.30%,,,-34,,243,,148,197,299,,1018,623,688,,,,,,15,776,623,586,15,,,1674,1279,1344,,,,,,671,1432,1242,1279,1313,1070,,1465,1070,1135,,,,,,511,1223,209,160,447,496,,,,,,511
Dupixent,dupilumab,"Sanofi Genzyme, a division of sanofi-aventis Canada Inc.",Y,Y,N,N,N,N,N,N,N,01-Jan-20,12-Nov-20,316,CADTH & INESSS,26-Nov-20,post-NOC,Initial,Add-on maintenance treatment in patients aged 12 years and older with severe asthma with a type 2/eosinophilic phenotype or oral corticosteroid-dependent asthma,Completed,08-Jun-21,Reimburse with clinical criteria and/or conditions,Conditional,01-Jan-21,post-NOC,New Indication,Severe eosinophilic asthma,Completed,02-Jun-21,Inscription - Avec conditions,Conditional,1st,01-Nov-21,28-Jun-22,Negotiation,No Agreement reached,NR,,,,,,,,,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,14,50,194,152,146,152,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,202,385,391,,,,,,524
Dupixent,dupilumab,Sanofi-aventis Canada Inc.,Y,Y,N,N,N,N,N,N,N,01-May-21,25-Mar-22,328,CADTH,28-Jun-22,post-NOC,Initial,Asthma,Completed,20-Jan-23,Reimburse with clinical criteria and/or conditions,Conditional,,,,,,,,,1st,10-Mar-23,10-Mar-23,Negotiation,Completed with Agreements,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,95,,206,,49,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,,49,,,,,,,629
Dupixent,dupilumab,"Sanofi Genzyme, a division of sanofi-aventis Canada Inc.",Y,Y,N,N,N,N,N,N,N,01-Nov-18,25-Sep-19,328,CADTH,15-Jul-22,post-NOC,Request for Advice,atopic dermatitis,Completed,18-Jan-23,Reimburse with clinical criteria and/or conditions,Conditional,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,1024,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211,,,,,,,,,1539
Dupixent (12+),dupilumab,Sanofi Genzyme,Y,Y,N,N,N,N,N,N,N,01-Nov-18,25-Sep-19,328,CADTH & INESSS,22-Oct-19,post-NOC,Initial,atopic dermatitis,Completed,22-Apr-20,Reimburse with clinical criteria and/or conditions,Conditional,22-Nov-19,post-NOC,New Indication,"Atopic dermatitis, adolescents",Completed,08-Jul-20,Inscription - Avec conditions,Conditional,1st,28-Jul-20,25-Feb-21,Negotiation,Completed with Agreements,NR,SA,EDS,EDS,EAP,SA,EDS,SA,SA,EM,,01-Jul-22,01-Jun-21,05-Aug-21,06-May-21,13-May-21,30-Nov-21,22-Nov-21,17-Jan-22,27-May-21,06-May-21,06-May-21,,9,4,5,1,2,7,6,8,3,32.20%,33.10%,61.70%,67.40%,73.00%,73.30%,74.60%,75.30%,79.70%,,79.70%,27-May-21,,27,58,183,229,97,20,212,,491,96,161,70,77,278,270,326,91,221,70,207,70,,,1010,615,680,589,596,797,789,845,610,740,726,589,562,379,,800,405,470,379,386,587,579,635,323,530,210,287,309,232,,,,21,,538
Dymista,azelastine HCl and fluticasone propionate,Meda Pharmaceuticals Ltd.,N,N,N,Y,N,N,N,N,N,,23-Oct-14,,CADTH,09-Dec-14,post-NOC,Initial,Seasonal allergic rhinitis,Completed,17-Jun-15,Do not list ,Negative,,,,,,,,,none,24-Jul-15,,Do Not Negotiate,n/a,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,47,,190,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,,,,,,,,,42172
Dysport Therapeutic,abobotulinumtoxinA,Ipsen Biopharmaceuticals ,N,Y,N,N,N,N,N,N,N,,03-Jan-17,,CADTH & INESSS,24-Apr-17,post-NOC,Initial,Upper limb spasticity,Completed,24-Oct-17,Reimburse with clinical criteria and/or conditions,Conditional,,,New Indication,Treatment of upper limb spasticity,Completed,01-Feb-18,Avis de refus d'inscription aux listes des médicaments - Valeur thérapeutique,Negative,1st,04-May-18,17-Jul-18,Negotiation,Completed with Agreements,SA,FB,EDS,EDS,LU,SA,EDS,UR,UR,EM,26-Feb-19,01-Dec-18,01-Oct-18,18-Oct-18,27-Sep-18,23-Aug-18,01-Aug-19,,,11-Apr-19,23-Aug-18,23-Aug-18,6,5,3,4,2,1,8,,,7,0.90%,33.10%,38.80%,44.40%,48.80%,69.10%,97.70%,99.00%,,,99.00%,26-Feb-19,11-Apr-19,111,,183,,192,92,74,224,137,76,93,72,37,380,,,268,146,37,161,37,268,784,697,636,653,632,597,940,,,828,706,721,597,486,303,490,403,342,359,338,303,646,,,434,412,294,394,266,166,828,231,231,187,44,43032
Dysport Therapeutic (cervical),abobotulinumtoxinA,Ipsen Biopharmaceuticals ,N,Y,N,N,N,N,N,N,N,,15-Jun-16,,CADTH & INESSS,31-Jan-17,post-NOC,Initial,Cervical dystonia,Completed,26-Jul-17,Reimburse with clinical criteria and/or conditions,Conditional,24-Mar-17,post-NOC,New Drug,Treatment of Cervical Dystonia,Completed,18-Oct-17,Avis de refus d'inscription aux listes des médicaments - Valeur thérapeutique,Negative,1st,04-May-18,17-Jul-18,Negotiation,Completed with Agreements,SA,FB,EDS,EDS,LU,SA,EDS,UR,UR,EM,26-Feb-19,01-Dec-18,01-Oct-18,18-Oct-18,27-Sep-18,23-Aug-18,01-Aug-19,,,11-Apr-19,23-Aug-18,23-Aug-18,6,5,3,4,2,1,8,,,7,0.90%,33.10%,38.80%,44.40%,48.80%,69.10%,97.70%,99.00%,,,99.00%,26-Feb-19,11-Apr-19,230,282,176,208,282,198,74,224,137,76,93,72,37,380,,,268,146,37,161,37,268,986,899,838,855,834,799,1142,,,1030,908,923,799,569,393,580,493,432,449,428,393,736,,,540,502,406,490,356,272,1030,231,231,187,44,42942
Dysport Therapeutic (lower),abobotulinumtoxinA,Ipsen Biopharmaceuticals ,N,Y,N,N,N,N,N,N,N,,15-Jun-16,,CADTH & INESSS,07-Feb-18,post-NOC,Initial,lower limb spasticity,Completed,23-Aug-18,Reimburse with clinical criteria and/or conditions,Conditional,24-Sep-18,post-NOC,New Indication,Treatment of lower limb spasticity in infacts age 2 or older,Completed,13-Feb-19,Inscription – Avec conditions,Conditional,1st,30-Aug-18,30-Aug-18,Negotiation,Completed with Agreements,SA,FB,EDS,EDS,LU,SA,EDS,UR,UR,EM,26-Feb-19,01-Dec-18,01-Oct-18,24-Jan-19,27-Sep-18,17-Dec-18,01-Aug-19,,,11-Apr-19,27-Sep-18,27-Sep-18,6,3,2,5,1,4,8,,,7,32.20%,38.00%,42.40%,43.30%,48.80%,69.10%,97.70%,99.00%,,,99.00%,26-Feb-19,11-Apr-19,602,831,197,142,7,-167,0,180,93,32,147,28,109,336,,,224,132,28,144,28,224,986,899,838,953,834,915,1142,,,1030,938,950,834,232,35,187,100,39,154,35,116,343,,,57,139,799,973,7,-167,1030,196,196,152,44,43335
Edarbi,azilsartan medoxomil ,Takeda Canada Inc.,Y,N,N,Y,N,N,N,N,N,,08-Mar-12,,CADTH & INESSS,08-Mar-13,post-NOC,Initial,"Hypertension, essential ",Completed,17-Oct-13,Do not list at the submitted price,Negative,,,New Drug,"Hypertension, essential ",Completed,03-Jun-13,Avis de refus,Negative,none,12-Nov-13,,Do Not Negotiate,n/a,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,365,,223,,26,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,452,,,,,,,,41564
Edarbyclor,azilsartan medoxomil + chlorthalidone ,Takeda Canada Inc. ,Y,N,N,N,N,N,N,N,N,,03-Dec-12,,CADTH & INESSS,08-Mar-13,post-NOC,Initial,"Hypertension, essential ",Completed,17-Oct-13,Do not list ,Negative,,,New Drug,"Hypertension, essential ",Completed,01-Oct-13,Avis de refus,Negative,none,12-Nov-13,,Do Not Negotiate,n/a,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,95,,223,,26,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318,302,,,,,,,,41564
Egrifta,tesamorelin,Theratechnologies Inc.,N,N,N,Y,N,N,N,N,N,,29-Apr-14,,CADTH & INESSS,02-Mar-16,post-NOC,Initial,"Lipodystrophy, HIV-infected patients",Completed,24-Aug-16,Do not reimburse,Negative,22-Mar-16,post-NOC,New Drug,"Lipodystrophy, HIV-infected patients",Completed,01-Jun-16,Avis de refus d’inscription aux listes des médicaments – Valeur thérapeutique,Negative,none,14-Oct-16,,Do Not Negotiate,n/a,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,673,693,175,71,51,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,764,,,,,,,,42606
Elelyso,taliglucerase alfa ,Pfizer ,Y,Y,N,Y,N,Y,Y,Y,N,,29-May-14,,CADTH & INESSS,15-Aug-14,post-NOC,Initial,Gaucher disease ,Completed,28-Oct-15,Do not list ,Negative,24-Nov-14,post-NOC,Resubmission,Gaucher disease ,Completed,15-Jul-15,Avis de refus d’inscription – À moins que certaines conditions soient respectées,Conditional,none,31-Jan-16,,Do Not Negotiate,n/a,UR,NR,NR,NR,NR,NR,NR,NR,NR,EM,,,,,,,,,,15-Jul-15,,15-Jul-15,,,,,,,,,,1,28.60%,,,,,,,,,,28.60%,,,78,179,439,233,95,200,,,,,,,,,,,,,,,,,,,,,,,,,,412,,412,,,,,,,,,,,,,0,,517,412,,,,,,,,42305
Elelyso (2nd pCPA),taliglucerase alfa,Pfizer ,Y,Y,N,Y,N,Y,Y,Y,N,,29-May-14,,CADTH & INESSS,15-Aug-14,post-NOC,Initial,Gaucher disease ,Completed,28-Oct-15,Do not list,Negative,24-Nov-14,post-NOC,Resubmission,Gaucher disease ,Completed,15-Jul-15,Avis de refus d’inscription – À moins que certaines conditions soient respectées,Conditional,1st,17-Nov-17,17-May-18,Negotiation,Completed with Agreements,UR,SA,UR,EDS,UR,SA,EDS,UR,UR,,,01-Sep-19,,18-Oct-18,,27-Mar-19,31-Jul-20,,,,18-Oct-18,18-Oct-18,,3,,1,,2,4,,,,5.50%,6.40%,10.90%,12.20%,,,,,,,12.20%,,,78,179,439,233,751,856,181,,472,,154,,314,806,,,,437,154,437,154,,,1921,,1603,,1763,2255,,,,1886,1886,1603,1525,1086,,1404,,1086,,1246,1738,,,,1369,517,412,932,1037,,,,,,42305
Eliquis (AF),apixaban,Bristol-Myers Squibb & Pfizer ,Y,N,N,N,N,N,N,N,N,,05-Dec-12,,CADTH & INESSS,25-Sep-12,pre-NOC,Initial,"Thromboembolic events prevention, (atrial fibrillation) ",Completed,20-Mar-13,List with clinical criteria and/or conditions,Conditional,04-Aug-13,post-NOC,New Indication,Prevention of stroke and systemic embolism in patients with atrial fibrillation,Completed,01-Oct-13,Ajout aux listes de médicaments - Médicament d'exception,Conditional,1st,,10-Oct-13,Negotiation,Completed with Agreements,FB,FB,EDS,EDS,LU,FB,EDS,SA,SA,EM,19-Sep-13,01-Mar-14,01-Nov-13,17-Oct-13,29-Aug-13,21-Nov-14,01-Dec-13,17-Feb-14,01-Mar-15,01-Oct-13,29-Aug-13,29-Aug-13,2,8,5,4,1,9,6,7,10,3,32.20%,52.50%,81.10%,86.60%,92.30%,93.60%,94.00%,98.40%,99.30%,100.00%,100.00%,19-Sep-13,01-Oct-13,-71,242,176,58,,,,-21,142,22,7,-42,407,52,130,507,-9,134,-42,120,-42,-9,288,451,331,316,267,716,361,439,816,300,443,429,267,338,162,183,346,226,211,162,611,256,334,711,0,338,105,300,204,9,300,33,33,21,12,41353
Eliquis (Treat VTE&recurrence),apixaban ,Bristol-Myers Squibb & Pfizer ,Y,N,N,N,N,N,N,N,N,,01-Nov-14,,CADTH & INESSS,18-Sep-14,pre-NOC,Initial,venous thromboembolic events and prevent recurrent deep-vein thrombosis and pulmonary embolism,Completed,07-May-15,List with clinical criteria and/or conditions,Conditional,24-Nov-14,post-NOC,Resubmission,Treatment of venous thromboembolism (deep vein thrombosis and pulmonary embolism) and preventing recurrence,Completed,01-Jun-15,Ajout d'une indication reconnue - Médicament d'exception,Conditional,1st,11-Jun-15,09-Jul-15,Negotiation,Completed with Agreements,FB,FB,EDS,EDS,LU,FB,EDS,SA,SA,EM,05-Apr-16,01-Nov-15,01-Oct-15,22-Oct-15,30-Sep-15,14-Oct-15,01-Dec-16,25-Apr-16,01-Sep-15,01-Jun-15,01-Sep-15,01-Jun-15,8,7,4,6,3,5,10,9,2,1,28.60%,29.30%,61.50%,67.20%,68.10%,73.60%,78.10%,98.30%,98.70%,100.00%,100.00%,30-Sep-15,05-Apr-16,-44,23,231,189,35,10,28,271,115,84,105,83,97,511,291,54,-38,179,54,157,-38,271,521,365,334,355,333,347,761,541,304,212,429,407,304,348,117,334,178,147,168,146,160,574,354,117,0,242,187,212,63,38,521,309,217,121,188,42131
Emgality,galcanezumab,Eli Lilly Canada Inc. (Lilly),Y,Y,N,Y,N,N,N,N,N,01-Oct-18,30-Jul-19,302,CADTH & INESSS,03-Jun-21,post-NOC,Initial,Prevention of migraine,Completed,15-Dec-21,Reimburse with clinical criteria and/or conditions,Conditional,24-Sep-21,post-NOC,New Drug,Prevention of migraine,Completed,30-Mar-22,Inscription - Avec conditions,Conditional,1st,29-Mar-22,22-Nov-22,Negotiation,Completed with Agreements,,SA,EDS,EDS,EAP,,,,SA,EM,,01-Feb-23,01-Feb-23,01-Apr-23,01-Dec-22,,,,07-Mar-23,01-Feb-23,01-Dec-22,01-Dec-22,,2,3,6,1,,,,5,4,32.20%,36.70%,42.40%,71.00%,71.70%,77.20%,,,,,77.20%,01-Feb-23,,674,787,195,187,104,-1,238,,71,71,130,9,,,,105,71,77,9,76,9,,,1282,1282,1341,1220,,,,1316,1282,1288,1287,1220,546,351,,413,413,472,351,,,,447,308,419,869,974,342,237,,,,62,,1171
Empaveli,pegcetacoplan,SOBI Canada,N,N,N,Y,N,Y,Y,Y,N,01-Jun-22,08-Dec-22,190,CADTH,26-Aug-22,pre-NOC,Initial,Paroxysmal nocturnal hemoglobinuria,Active,,Active,n/a,,,,,,,,,none,,,,,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44713
Enerzair Breezhaler,indacaterol glycopyrronium mometasone furoate,Novartis Pharmaceuticals Canada Inc.,Y,N,N,N,N,N,N,N,N,01-Sep-19,02-Jul-20,305,CADTH & INESSS,19-May-20,pre-NOC,Initial,"Asthma maintenance, adults",Completed,24-Nov-20,Reimburse with clinical criteria and/or conditions,Conditional,26-Jun-20,pre-NOC,New Drug,Asthma,Completed,02-Dec-20,Inscription - Avec conditions,Conditional,1st,23-Jun-21,30-Sep-21,Negotiation,Completed with Agreements,SA,SA,,EDS,LU,SA,EDS,SA,SA,EM,14-Jun-22,01-Nov-21,,24-Feb-22,28-Feb-22,20-Jan-22,30-Nov-21,28-Mar-22,11-May-22,15-Dec-21,01-Nov-21,01-Nov-21,9,1,,5,6,4,2,7,8,3,4.50%,5.80%,34.30%,35.20%,40.80%,73.00%,73.40%,74.00%,94.30%,,94.30%,28-Feb-22,14-Jun-22,-44,-6,189,159,211,203,99,257,32,,147,151,112,61,179,223,76,145,32,138,32,257,712,487,,602,606,567,516,634,678,531,600,593,487,531,342,567,342,,457,461,422,371,489,533,378,455,145,153,310,302,712,225,225,119,106,450
Enhertu,trastuzumab deruxtecan,AstraZeneca,Y,Y,Y,Y,Y,N,N,N,Y,01-Jan-22,15-Jun-22,165,CADTH & INESSS,23-Mar-22,pre-NOC,Initial,Anticipated indication as filed with Health Canada: for the treatment of adult patients with unresectable or metastatic HER2 (human epidermal growth factor receptor 2)-positive breast cancer who have received a prior treatment with an anti-HER2-based regimen in the metastatic setting or developed disease recurrence during or within 6 months of completing neoadjuvant or adjuvant therapy,Completed,28-Sep-22,Cond'l on Cost,Conditional,29-Apr-22,pre-NOC,New Drug,Treatment of adult patients with unresectable or metastatic HER2 (human epidermal growth factor receptor 2)-positive breast cancer who have received a prior treatment with an anti-HER2-based regimen in the metastatic setting or developed disease recurrence during or within 6 months of completing neoadjuvant or adjuvant therapy.,Completed,01-Feb-23,Inscription - Avec conditions,Conditional,1st,21-Dec-22,,Active,n/a,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,Under provincial consideration,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-84,-47,189,278,84,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,231,,,,,,,,270
